musique intrumentale ou avec parole,support écouté,station radio,genre musicale,période musicale,langue écouté,type de parole,frequence ecouté artiste émergent,tempo,fréquence en travaillant,fréquence en sport,fréquence en cuisine,fréquence en transport,fréquence en passant le temps,fréquence écoute mensuel,fréquence écoute journalier,genre,age,environnement,situation professionnel
les deux,plateforme de streaming;cd;dvd;vinyles,nostalgie,metal,années 2000;années 90;années 70 - 90;années 50 - 70,francophone;anglophone,peu importe,2,150.0,3,5,5,5,3,1,2,homme,19.0,campagne,étudiant
avec des paroles,streaming,nan,rap;pop,aucune préférence,francophone;anglophone,peu importe,5,150.0,4,5,5,5,5,1,1,homme,18.0,ville,étudiant
les deux,radio;cd;dvd;vinyles,nrj;skyrock;fun radio;france info;m radio;rtl 2,no preferences,années 90;années 70 - 90,francophone;anglophone,engagées,3,120.0,1,1,3,5,3,1,2,homme,54.0,campagne,salarié
les deux,plateforme de streaming;radio,nrj;skyrock;m radio,rap;pop;classical music,années 2020;années 2010;années 2000;années 90,francophone;anglophone,poétiques,2,120.0,5,5,5,5,5,1,2,femme,38.0,campagne,salarié
avec des paroles,radio;avec alexa de chez amazon,nostalgie;radio bonheur... et interdit de se moquer,rock;pop,années 70 - 90;années 50 - 70,francophone,peu importe,1,120.0,1,1,4,4,3,1,3,femme,61.0,campagne,salarié
avec des paroles,plateforme de streaming;radio,rtl;nrj;skyrock;fun radio,pop,aucune préférence,anglophone,peu importe,2,120.0,3,5,3,5,3,1,2,femme,50.0,banlieue,salarié
les deux,radio;cd;dvd;vinyles,chérie fm,rock,années 70 - 90;années 50 - 70,anglophone,peu importe,2,150.0,5,4,2,5,3,1,1,homme,56.0,campagne,salarié
instrumentaux,radio;mp3,radio spoon rock,rock;electro,aucune préférence,francophone;anglophone;allemande,engagées,4,120.0,3,1,5,5,5,1,1,homme,19.0,campagne,étudiant
avec des paroles,streaming,nostalgie;fun radio;m radio,no preferences,années 2000;années 70 - 90,francophone,peu importe,2,150.0,5,5,3,1,3,1,1,femme,28.0,campagne,salarié
les deux,streaming,canal b,no preferences,années 2020;années 2010;années 2000;années 90;années 70 - 90,anglophone,peu importe,4,,4,4,2,4,2,1,2,homme,91.0,ville,étudiant
les deux,streaming,nan,rap;electro,aucune préférence,anglophone,peu importe,3,180.0,3,5,4,5,4,1,1,homme,19.0,ville,étudiant
les deux,plateforme de streaming;radio,nostalgie;m radio;europe 2 rtl2,rock;rap;pop;electro;classical music,années 90;années 70 - 90;années 50 - 70,francophone;anglophone,poétiques,2,120.0,4,3,2,5,4,1,1,femme,39.0,campagne,salarié
avec des paroles,streaming,nova,rock;pop,années 2020;années 2010;années 2000;années 90,francophone;anglophone,poétiques,4,120.0,4,2,1,5,3,1,2,homme,46.0,campagne,salarié
instrumentaux,radio,nrj;m radio,pop,1970-1990,francophone;anglophone,engagées,2,90.0,1,2,1,5,3,1,2,femme,32.0,campagne,salarié
les deux,plateforme de streaming;radio;cd;dvd;vinyles,nrj;nostalgie;rfm,rock;pop;electro,aucune préférence,francophone;anglophone,peu importe,1,,4,4,4,4,4,1,2,homme,18.0,ville,étudiant
avec des paroles,radio;you tube premium,nostalgie,rock;rap;pop,1970-1990,francophone;anglophone,peu importe,2,150.0,2,1,4,5,3,1,2,femme,48.0,ville,salarié
les deux,radio;clé usb,nrj,rock;jazz;pop;electro;classical music,années 2020;années 2010;années 2000;années 90;années 70 - 90,anglophone,peu importe,2,120.0,1,5,5,3,5,1,2,femme,53.0,ville,salarié
les deux,radio;cd;dvd;vinyles;,nostalgie;,no preferences,années 90;années 70 - 90;pas de préférence,francophone;anglophone,peu importe,5,120.0,5,3,3,5,3,1,1,homme,56.0,campagne,salarié
avec des paroles,plateforme de streaming;radio;cd;dvd;vinyles;clé usb;chaînes de clips,rtl;nrj;nostalgie;fun radio;france inter;france info;,funk,années 90;années 70 - 90,francophone;anglophone,peu importe,2,,3,4,1,4,1,1,1,femme,27.0,banlieue,étudiant
instrumentaux,streaming,rtl;skyrock;france inter;france info;m radio,rock,1970-1990,anglophone,peu importe,3,120.0,3,4,4,5,3,1,2,homme,28.0,ville,salarié
les deux,plateforme de streaming;radio,nrj;fun radio;nrj;,pop,années 2000;années 90,francophone,peu importe,3,180.0,1,5,5,5,4,1,2,femme,40.0,campagne,salarié
les deux,streaming,nan,rap;pop;electro,années 2020;années 70 - 90,francophone;anglophone;hispanique,peu importe,2,150.0,3,5,5,5,5,1,1,femme,31.0,ville,salarié
avec des paroles,plateforme de streaming;radio,oui fm,rock;pop,années 90;années 70 - 90,francophone;anglophone,peu importe,3,150.0,3,4,3,5,5,1,2,homme,28.0,campagne,salarié
avec des paroles,streaming,nrj;skyrock,rap,années 2020;années 2010,francophone;anglophone,peu importe,3,120.0,4,4,4,5,3,1,2,homme,17.0,campagne,étudiant
les deux,plateforme de streaming;radio,légende,no preferences,aucune préférence,francophone,engagées,4,120.0,1,5,3,5,3,1,2,femme,46.0,campagne,salarié
les deux,streaming,rtl;france info;nova,rock;rap,aucune préférence,francophone;anglophone;hispanique,peu importe,4,120.0,4,1,1,5,1,1,2,homme,52.0,campagne,indépendant
avec des paroles,plateforme de streaming;radio,rtl;fun radio;rtl 2;tsf jazz,rock;pop,aucune préférence,francophone;anglophone,peu importe,1,120.0,5,1,4,5,3,1,1,homme,51.0,campagne,salarié
les deux,plateforme de streaming;radio,rtl;m radio;décibel rfm,rock;jazz;pop;electro,années 2020;années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone;brésilienne,peu importe,3,150.0,4,4,2,5,4,1,2,femme,48.0,campagne,salarié
les deux,plateforme de streaming;radio,m radio,pop,1970-1990,francophone;anglophone,peu importe,2,120.0,1,3,4,4,4,1,3,femme,47.0,campagne,salarié
les deux,radio;cd;dvd;vinyles,nrj,rock;pop,ne sait pas,francophone,humoristique,5,120.0,1,5,5,5,5,1,2,homme,50.0,campagne,salarié
les deux,streaming,skyrock,rap;techno,aucune préférence,francophone;anglophone,peu importe,3,120.0,4,4,1,3,3,2,2,homme,19.0,campagne,étudiant
les deux,streaming,nostalgie;france info,jazz;folk,aucune préférence,francophone;anglophone;bulgare;scandinave;breton,peu importe,4,120.0,4,4,5,1,5,1,1,femme,57.0,campagne,salarié
avec des paroles,streaming,nan,rap;pop,années 2020;années 2010,francophone;asiatique,peu importe,1,120.0,4,4,1,1,3,1,3,homme,21.0,banlieue,étudiant
les deux,cd;dvd;vinyles;support usb,nrj;france info,pop,1970-1990,francophone;anglophone,peu importe,1,,1,1,3,5,2,1,3,femme,29.21212121212121,ville,salarié
avec des paroles,radio,rtl;nrj;nostalgie;france inter,jazz;pop,1970-1990,francophone;anglophone,peu importe,1,120.0,1,4,3,5,3,1,2,femme,54.0,campagne,salarié
instrumentaux,plateforme de streaming;cd;dvd;vinyles,france info;oui fm,rock,années 2000;années 90;années 70 - 90;années 50 - 70,anglophone;allemande,peu importe,3,120.0,1,5,3,4,4,1,2,homme,31.0,campagne,salarié
les deux,streaming,nrj;skyrock;fun radio,no preferences,années 2000;années 90;années 70 - 90,francophone;anglophone;hispanique,poétiques,1,,1,4,5,5,3,1,2,femme,30.0,ville,salarié
avec des paroles,streaming,nan,rap,2020,francophone,engagées,1,,3,3,2,3,3,2,2,femme,29.21212121212121,ville,salarié
les deux,plateforme de streaming;radio,nrj;skyrock;fun radio;rfm,rock;pop;electro,années 2010;années 2000,francophone;anglophone;allemande,peu importe,3,150.0,5,4,3,1,3,1,2,homme,22.0,ville,étudiant
les deux,radio,m radio,no preferences,années 2020;années 70 - 90,francophone,peu importe,5,120.0,5,5,5,1,5,1,1,femme,53.0,ville,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,rtl;nrj;france inter;,rock;jazz;classical music,aucune préférence,francophone;anglophone;hispanique,peu importe,5,180.0,5,5,5,5,5,1,1,femme,51.0,campagne,indépendant
les deux,plateforme de streaming;spotify,nan,rap;jazz;pop,années 2020;années 2010;années 2000;années 90;années 70 - 90;années 50 - 70,francophone;anglophone;asiatique;brésilienne,engagées,3,120.0,5,5,4,5,5,1,1,femme,14.0,campagne,étudiant
avec des paroles,plateforme de streaming;radio,nrj;skyrock;fun radio,rap;pop;electro,années 2020;années 2000;années 90;années 70 - 90,francophone;anglophone,peu importe,2,,1,4,3,5,3,1,2,femme,29.0,ville,salarié
avec des paroles,plateforme de streaming;radio,nrj;m radio,rock;rap;pop,aucune préférence,francophone;anglophone,engagées,3,,1,5,5,5,3,1,2,femme,29.21212121212121,campagne,salarié
les deux,streaming,nan,rock;pop;classical music,aucune préférence,francophone;anglophone;allemande,peu importe,3,,4,4,4,5,4,1,2,homme,29.21212121212121,ville,salarié
les deux,streaming,nan,pop;techno,aucune préférence,francophone;anglophone;hispanique,peu importe,3,150.0,1,5,4,5,3,1,2,femme,24.0,ville,salarié
les deux,radio;cd;dvd;vinyles,rtl;skyrock;fun radio;france info;m radio,rock;rap;pop;electro;classical music,aucune préférence,francophone;anglophone;hispanique;allemande,peu importe,3,150.0,1,2,2,1,3,1,2,je préfère ne pas répondre,60.0,ville,salarié
les deux,radio,rtl2,rock;pop;electro,années 2000;années 90;années 70 - 90,francophone,peu importe,3,120.0,4,5,4,5,2,1,1,homme,34.0,campagne,salarié
les deux,plateforme de streaming;radio,nrj;fun radio;rtl2,rock;rap;pop;electro,années 2020;années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone;hispanique;bretonne,peu importe,2,120.0,5,1,2,1,2,1,1,homme,31.0,ville,salarié
les deux,plateforme de streaming;radio,france inter;france info;rtl2,rock;electro;metal,aucune préférence,anglophone,peu importe,3,180.0,2,2,2,4,3,1,3,homme,44.0,campagne,salarié
les deux,radio;cd;dvd;vinyles;clé usb,france inter;m radio,classical music;french variety,années 2000;années 70 - 90,francophone,engagées,2,120.0,4,3,1,2,2,1,1,femme,54.0,campagne,salarié
les deux,streaming,nan,rap,années 2020;années 2010;années 2000,francophone;anglophone;asiatique,peu importe,5,150.0,5,1,5,5,5,1,1,homme,29.21212121212121,campagne,étudiant
les deux,plateforme de streaming;cd;dvd;vinyles,rtl;france inter,rock;pop,aucune préférence,anglophone;hispanique,engagées,3,120.0,1,3,4,4,4,1,2,femme,39.0,campagne,salarié
les deux,streaming,m radio,no preferences,aucune préférence,anglophone,peu importe,2,120.0,1,4,4,5,4,1,2,femme,30.0,ville,salarié
les deux,streaming,nan,rock;rap;electro,aucune préférence,francophone;anglophone;allemande;italien,peu importe,5,120.0,3,3,3,3,3,1,1,homme,18.0,campagne,étudiant
instrumentaux,streaming,nan,rock,1990,anglophone,engagées,3,150.0,1,5,5,5,5,1,2,homme,29.21212121212121,ville,étudiant
les deux,streaming,nrj;nostalgie,jazz,années 2000;années 90;années 70 - 90;années 50 - 70,francophone;anglophone;brésilienne,engagées,5,120.0,5,5,5,5,5,1,1,femme,22.0,ville,étudiant
les deux,streaming,nrj,rap;pop,aucune préférence,francophone;anglophone,peu importe,2,120.0,3,5,3,5,5,1,2,femme,23.0,ville,étudiant
avec des paroles,streaming,nan,rap,aucune préférence,francophone;anglophone,peu importe,3,120.0,5,5,5,5,3,1,2,homme,19.0,campagne,étudiant
les deux,streaming,nrj;skyrock,rap;folk,années 2020;années 2010,francophone,peu importe,2,150.0,5,5,3,5,4,1,2,femme,29.21212121212121,ville,étudiant
les deux,plateforme de streaming;radio;cd;dvd;vinyles,nrj;france info;rires&chansons;berry fm,electro,1970-1990,francophone;anglophone;asiatique,peu importe,1,150.0,1,3,1,5,3,1,3,homme,40.0,campagne,sans emploi
les deux,streaming,rtl;nrj;skyrock;fun radio,jazz;pop;classical music,années 2000;années 90;années 70 - 90,francophone;anglophone,peu importe,4,90.0,5,5,5,5,5,1,1,femme,23.0,ville,étudiant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,nan,rap,années 2020;années 2010;années 2000,francophone;anglophone,poétiques,3,,2,5,5,3,5,1,2,homme,18.0,ville,étudiant
avec des paroles,radio;cd;dvd;vinyles,rtl;radio montagnes noires,classical music,années 2010;années 2000;années 90,francophone,poétiques,2,120.0,1,2,3,4,3,1,3,femme,58.0,campagne,salarié
les deux,radio,nostalgie;radio bonheur,no preferences,1970-1990,francophone;anglophone,engagées,1,120.0,3,1,4,1,4,1,1,femme,67.0,campagne,retraité
les deux,plateforme de streaming;radio,nan,rock;rap;electro,années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone;asiatique,peu importe,2,150.0,3,5,4,5,3,1,2,homme,19.0,campagne,étudiant
les deux,streaming,nan,rock;rap;jazz;pop;electro;classical music,années 2020;années 2010,anglophone,peu importe,3,120.0,4,3,4,5,5,1,1,femme,22.0,ville,salarié
les deux,radio,nostalgie;france inter;m radio;rmn;chérie fm;radio océane.,eclectic,aucune préférence,francophone;anglophone;hispanique;asiatique;brésilienne,peu importe,5,150.0,5,5,5,5,5,1,1,femme,58.0,campagne,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,nan,rap;pop,années 2020;années 2010;années 70 - 90,anglophone,poétiques,2,150.0,4,5,5,5,2,1,2,homme,29.21212121212121,campagne,sans emploi
avec des paroles,radio,hitwest,rock;jazz;pop,aucune préférence,francophone;anglophone,engagées,4,,3,1,4,4,4,1,2,femme,37.0,campagne,indépendant
les deux,radio;youtube et tv,nrj;skyrock;rmn,no preferences,années 2020;années 2010;années 2000,francophone;anglophone;hispanique;brésilienne,peu importe,2,120.0,3,3,3,4,3,1,2,je préfère ne pas répondre,32.0,campagne,salarié
les deux,plateforme de streaming;radio,nrj,rap;pop,années 2020;années 2010;années 2000,francophone;anglophone;asiatique,engagées,4,120.0,4,5,4,5,4,1,2,femme,23.0,ville,étudiant
les deux,plateforme de streaming;cd;dvd;vinyles,france inter;nova,rock;electro,années 2020;années 2000;années 70 - 90,francophone;anglophone,poétiques,2,120.0,2,5,4,5,4,1,2,femme,40.0,ville,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,radio bonheur,metal,aucune préférence,francophone;anglophone;allemande;asiatique,poétiques,4,,3,3,3,5,3,1,2,femme,19.0,campagne,étudiant
avec des paroles,radio;cd;dvd;vinyles,rtl;m radio;rtl2,rock;pop,aucune préférence,francophone;anglophone,peu importe,2,120.0,1,5,4,5,3,1,2,femme,45.0,campagne,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,nan,rock;jazz;metal,aucune préférence,francophone;anglophone;allemande;russe,peu importe,5,150.0,5,5,4,5,3,1,1,homme,21.0,ville,étudiant
les deux,streaming,rtl;nrj;nostalgie,rock;rap;pop;electro,aucune préférence,francophone;anglophone;hispanique;asiatique,peu importe,4,150.0,5,5,5,5,4,1,2,femme,21.0,banlieue,étudiant
les deux,plateforme de streaming;radio;cd;dvd;vinyles,nrj;france info;radio nova;hitwest,rock;rap;jazz;electro,années 2020;années 2010;années 2000;années 50 - 70,francophone;anglophone,peu importe,5,,3,5,5,5,5,1,2,femme,30.0,ville,salarié
instrumentaux,streaming,nrj;rtl 2,rock;pop;electro;classical music,années 2000;années 90;années 70 - 90,francophone;anglophone,peu importe,5,90.0,5,4,4,4,4,1,2,homme,19.0,campagne,étudiant
avec des paroles,plateforme de streaming;radio,rtl;nrj;fun radio;m radio,rock;rap;jazz;pop;electro,aucune préférence,francophone;anglophone;asiatique,peu importe,3,120.0,5,4,4,5,5,1,2,femme,21.0,ville,étudiant
les deux,streaming,skyrock;fun radio;france inter;france info,rap;pop;classical music,années 2000;années 90,francophone;anglophone;brésilienne,poétiques,4,150.0,5,5,5,5,4,1,2,homme,29.21212121212121,ville,salarié
avec des paroles,radio,nostalgie,no preferences,années 2000;années 90;années 70 - 90,anglophone,peu importe,1,120.0,4,2,1,1,2,1,3,femme,62.0,banlieue,retraité
les deux,radio,nan,rock,aucune préférence,anglophone,peu importe,3,,4,4,5,5,4,1,2,femme,29.21212121212121,ville,sans emploi
avec des paroles,plateforme de streaming;cd;dvd;vinyles,nan,rock;pop;folk,années 2020;années 70 - 90,francophone;anglophone;allemande;cyrillique;asiatique,engagées,4,120.0,2,5,4,4,3,1,3,homme,22.0,ville,étudiant
les deux,plateforme de streaming;radio,nrj;nostalgie,rock;rap;jazz;pop,aucune préférence,francophone;anglophone,peu importe,3,90.0,4,4,2,4,2,1,2,homme,35.0,campagne,salarié
les deux,plateforme de streaming;radio,nrj;fun radio;hit west;ouifm,rock;pop,années 2020;années 2010;années 2000;années 90,francophone;anglophone,peu importe,2,150.0,2,3,5,5,5,1,1,femme,33.0,ville,salarié
les deux,streaming,nan,rock;jazz;pop,années 2010;années 2000;années 70 - 90,anglophone;hispanique,peu importe,5,120.0,5,5,4,5,3,1,1,homme,29.21212121212121,ville,indépendant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,nan,rock,années 2020;années 2010;années 2000;années 90,francophone;anglophone,poétiques,3,,4,5,3,5,3,1,2,femme,29.21212121212121,campagne,étudiant
les deux,streaming,france info;couleur3,rock;pop,aucune préférence,francophone;anglophone,peu importe,3,120.0,1,2,2,5,3,1,2,homme,47.0,ville,salarié
les deux,streaming,france inter,rock;jazz;pop,années 2020;années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone,peu importe,2,120.0,1,5,3,3,1,1,2,femme,49.0,ville,salarié
les deux,radio,moov,no preferences,aucune préférence,francophone;anglophone;hispanique,peu importe,2,120.0,1,3,3,3,3,1,3,femme,33.0,ville,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,nrj;skyrock;nostalgie;fun radio,no preferences,aucune préférence,francophone;anglophone;hispanique;asiatique,peu importe,4,120.0,4,5,3,5,5,1,1,femme,30.0,ville,étudiant
les deux,streaming,skyrock,rap,années 2020;années 2010,francophone,engagées,4,120.0,3,5,4,5,5,1,2,homme,24.0,ville,étudiant
les deux,streaming,nrj;fun radio,rock;electro,aucune préférence,francophone;anglophone,peu importe,3,150.0,5,1,2,5,5,1,2,femme,35.0,ville,indépendant
avec des paroles,streaming,nan,rock;pop,années 2020;années 2010;années 2000;années 90,anglophone,poétiques,2,120.0,2,4,2,4,4,2,3,femme,24.0,ville,étudiant
avec des paroles,youtube,nostalgie,pop,années 2000;années 70 - 90,francophone;anglophone,peu importe,1,120.0,5,1,5,1,5,1,2,homme,21.0,ville,étudiant
les deux,streaming,france inter,rap;pop,années 2020;années 70 - 90;années 50 - 70,francophone;anglophone;cyrillique,peu importe,5,120.0,5,5,5,5,4,1,2,femme,19.0,campagne,étudiant
avec des paroles,plateforme de streaming;radio,skyrock;fun radio,rap;pop,années 2020;années 2010,francophone,peu importe,5,150.0,4,5,3,5,4,1,2,homme,18.0,campagne,étudiant
avec des paroles,plateforme de streaming;radio,nostalgie;cherie fm,rock;pop;classical music,années 2000;années 90;années 70 - 90;années 50 - 70,francophone;anglophone;cyrillique,engagées,2,150.0,2,5,4,5,1,2,3,femme,31.0,ville,salarié
